Section,Item,Somerville,Medford,Cambridge W10 W11 W7-1 W8-1,Winchester P4,Winchester P5,Winchester P6,Winchester P7,Malden,Melrose,Reading,Stoneham,Wakefield,Winchester P1,Winchester P2,Winchester P3,Winchester P8
Second Middlesex Senate - Democratic,Burhan Azeem,2505,1352,2037,40,44,40,55,,,,,,,,,
Second Middlesex Senate - Democratic,Christine Barber,4391,3458,1683,180,144,115,171,,,,,,,,,
Second Middlesex Senate - Democratic,Tom Hopcroft,90,201,54,73,68,83,81,,,,,,,,,
Second Middlesex Senate - Democratic,Matt McLaughlin,2211,1433,420,26,28,12,41,,,,,,,,,
Second Middlesex Senate - Democratic,Erika Uyterhoeven,6816,3240,1826,147,93,130,83,,,,,,,,,
Second Middlesex Senate - Democratic,Write-in,18,12,5,1,0,0,1,,,,,,,,,
Second Middlesex Senate - Democratic,Blanks,523,650,405,63,46,56,73,,,,,,,,,
Fifth Middlesex Senate - Democratic,Kate Lipper-Garabedian,,,,,,,,2227,4545,2738,2018,3056,307,249,398,189
Fifth Middlesex Senate - Democratic,Carey McDonald,,,,,,,,2874,839,690,569,596,45,59,53,38
Fifth Middlesex Senate - Democratic,Ryan J. O'Malley,,,,,,,,1380,392,513,411,424,37,40,40,36
Fifth Middlesex Senate - Democratic,Write-in,,,,,,,,9,7,8,7,7,0,1,3,1
Fifth Middlesex Senate - Democratic,Blanks,,,,,,,,448,267,858,400,539,52,56,110,49
