Section,Item,Somerville,Medford,Cambridge W9-11,Winchester P4,Winchester P5,Winchester P6,Winchester P7,Malden,Melrose,Reading,Stoneham,Wakefield,Winchester P1,Winchester P2,Winchester P3,Winchester P8
State Senate - 2nd Middlesex (Democratic primary),,"White cells only: Somerville, Medford, Cambridge (wards 9-11), Winchester (precincts 4-7)",,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Burhan Azeem,213,213,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Christine Barber,226,226,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Tom Hopcroft,239,239,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Matt McLaughlin,252,252,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Erika Uyterhoeven,265,265,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Write-in,278,278,,,,,,,,,,,,,,
Second Middlesex Senate - Democratic,Blanks,291,291,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State Senate - 5th Middlesex (Democratic primary),,"White cells only: Malden, Melrose, Reading, Stoneham, Wakefield, Winchester (precincts 1, 2, 3, 8)",,,,,,,,,,,,,,,
Fifth Middlesex Senate - Democratic,Kate Lipper-Garabedian,,,,,,,,304,,,,,304,,,
Fifth Middlesex Senate - Democratic,Carey McDonald,,,,,,,,317,,,,,317,,,
Fifth Middlesex Senate - Democratic,Ryan J. O'Malley,,,,,,,,330,,,,,330,,,
Fifth Middlesex Senate - Democratic,Write-in,,,,,,,,343,,,,,343,,,
Fifth Middlesex Senate - Democratic,Blanks,,,,,,,,356,,,,,356,,,
